# Logfile created on 2016-06-09 19:34:20 +0300 by logger.rb/53141
I, [2016-06-09T19:34:20.686994 #13367]  INFO -- Pubnub::Client: Created new Pubnub::Client instance. Version: 3.8.1
D, [2016-06-09T19:34:22.711486 #13367] DEBUG -- Pubnub::Event: Requested URI: http://pubsub.pubnub.com/publish/pub-c-dc0c88cf-f1dd-468d-88a4-160c26eb981d/sub-c-b30e1dac-d56c-11e5-b684-02ee2ddab7fe/0/curago_dev_4/0/%7B%22google_event_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg_20160301T160000Z%22%5D%2C%22user_id%22%3A%5Bnull%2C4%5D%2C%22recurring_event_id%22%3A%5Bnull%2C1585%5D%2C%22notes%22%3A%5Bnull%2C%22https%3A%2F%2Fglobal.gotomeeting.com%2Fjoin%2F694673477%5CnCompany-wide%20meeting%20between%20all%20WeezLabs%20offices.%20Executives%20will%20provide%20monthly%20report%20and%20plans%20for%20the%20next%20month.%22%5D%2C%22title%22%3A%5Bnull%2C%22Monthly%20All%20Hands%22%5D%2C%22starts_at%22%3A%5Bnull%2C%222016-03-01T16%3A00%3A00.000Z%22%5D%2C%22ends_at%22%3A%5Bnull%2C%222016-03-01T16%3A50%3A00.000Z%22%5D%2C%22frequency%22%3A%5Bnull%2C%22once%22%5D%2C%22calendar_id%22%3A%5Bnull%2C111%5D%2C%22google_event_uniq_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg%40google.com%22%5D%2C%22created_at%22%3Anull%2C%22updated_at%22%3Anull%2C%22id%22%3Anull%7D?pnsdk=PubNub-Ruby/3.8.1&uuid=97d0854a-99ce-4f46-a9b7-9af0a2d4f5a8
D, [2016-06-09T19:34:22.712011 #13367] DEBUG -- Pubnub::Publish: Fired event Pubnub::Publish
D, [2016-06-09T19:34:22.712584 #13367] DEBUG -- Pubnub::Client: Looking for requester for single_event
D, [2016-06-09T19:34:22.712949 #13367] DEBUG -- Pubnub::Event: Requested URI: http://pubsub.pubnub.com/publish/pub-c-dc0c88cf-f1dd-468d-88a4-160c26eb981d/sub-c-b30e1dac-d56c-11e5-b684-02ee2ddab7fe/0/curago_dev_%5B%5D/0/%7B%22google_event_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg_20160301T160000Z%22%5D%2C%22user_id%22%3A%5Bnull%2C4%5D%2C%22recurring_event_id%22%3A%5Bnull%2C1585%5D%2C%22notes%22%3A%5Bnull%2C%22https%3A%2F%2Fglobal.gotomeeting.com%2Fjoin%2F694673477%5CnCompany-wide%20meeting%20between%20all%20WeezLabs%20offices.%20Executives%20will%20provide%20monthly%20report%20and%20plans%20for%20the%20next%20month.%22%5D%2C%22title%22%3A%5Bnull%2C%22Monthly%20All%20Hands%22%5D%2C%22starts_at%22%3A%5Bnull%2C%222016-03-01T16%3A00%3A00.000Z%22%5D%2C%22ends_at%22%3A%5Bnull%2C%222016-03-01T16%3A50%3A00.000Z%22%5D%2C%22frequency%22%3A%5Bnull%2C%22once%22%5D%2C%22calendar_id%22%3A%5Bnull%2C111%5D%2C%22google_event_uniq_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg%40google.com%22%5D%2C%22created_at%22%3Anull%2C%22updated_at%22%3Anull%2C%22id%22%3Anull%7D?pnsdk=PubNub-Ruby/3.8.1&uuid=97d0854a-99ce-4f46-a9b7-9af0a2d4f5a8
D, [2016-06-09T19:34:22.797931 #13367] DEBUG -- Pubnub::Event: Event#handle
D, [2016-06-09T19:34:22.798108 #13367] DEBUG -- Pubnub::Event: Event#add_common_data_to_envelopes
D, [2016-06-09T19:34:22.798159 #13367] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Publish
D, [2016-06-09T19:34:22.933869 #13367] DEBUG -- Pubnub::Event: Event#handle
D, [2016-06-09T19:34:22.934013 #13367] DEBUG -- Pubnub::Event: Event#add_common_data_to_envelopes
D, [2016-06-09T19:34:22.934062 #13367] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Publish
D, [2016-06-09T19:34:24.724438 #13367] DEBUG -- Pubnub::Event: Initialized Pubnub::Publish
D, [2016-06-09T19:34:24.724954 #13367] DEBUG -- Pubnub::Publish: Fired event Pubnub::Publish
D, [2016-06-09T19:34:24.725130 #13367] DEBUG -- Pubnub::Event: Initialized Pubnub::Publish
D, [2016-06-09T19:34:24.725167 #13367] DEBUG -- Pubnub::Client: Looking for requester for single_event
D, [2016-06-09T19:34:24.725645 #13367] DEBUG -- Pubnub::Event: Requested URI: http://pubsub.pubnub.com/publish/pub-c-dc0c88cf-f1dd-468d-88a4-160c26eb981d/sub-c-b30e1dac-d56c-11e5-b684-02ee2ddab7fe/0/curago_dev_4/0/%7B%22google_event_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg_20160405T150000Z%22%5D%2C%22user_id%22%3A%5Bnull%2C4%5D%2C%22recurring_event_id%22%3A%5Bnull%2C1585%5D%2C%22notes%22%3A%5Bnull%2C%22https%3A%2F%2Fglobal.gotomeeting.com%2Fjoin%2F694673477%5CnCompany-wide%20meeting%20between%20all%20WeezLabs%20offices.%20Executives%20will%20provide%20monthly%20report%20and%20plans%20for%20the%20next%20month.%22%5D%2C%22title%22%3A%5Bnull%2C%22Monthly%20All%20Hands%22%5D%2C%22starts_at%22%3A%5Bnull%2C%222016-04-05T15%3A00%3A00.000Z%22%5D%2C%22ends_at%22%3A%5Bnull%2C%222016-04-05T15%3A50%3A00.000Z%22%5D%2C%22frequency%22%3A%5Bnull%2C%22once%22%5D%2C%22calendar_id%22%3A%5Bnull%2C111%5D%2C%22google_event_uniq_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg%40google.com%22%5D%2C%22created_at%22%3Anull%2C%22updated_at%22%3Anull%2C%22id%22%3Anull%7D?pnsdk=PubNub-Ruby/3.8.1&uuid=97d0854a-99ce-4f46-a9b7-9af0a2d4f5a8
D, [2016-06-09T19:34:24.726600 #13367] DEBUG -- Pubnub::Publish: Fired event Pubnub::Publish
D, [2016-06-09T19:34:24.726686 #13367] DEBUG -- Pubnub::Client: Looking for requester for single_event
D, [2016-06-09T19:34:24.727039 #13367] DEBUG -- Pubnub::Event: Requested URI: http://pubsub.pubnub.com/publish/pub-c-dc0c88cf-f1dd-468d-88a4-160c26eb981d/sub-c-b30e1dac-d56c-11e5-b684-02ee2ddab7fe/0/curago_dev_%5B%5D/0/%7B%22google_event_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg_20160405T150000Z%22%5D%2C%22user_id%22%3A%5Bnull%2C4%5D%2C%22recurring_event_id%22%3A%5Bnull%2C1585%5D%2C%22notes%22%3A%5Bnull%2C%22https%3A%2F%2Fglobal.gotomeeting.com%2Fjoin%2F694673477%5CnCompany-wide%20meeting%20between%20all%20WeezLabs%20offices.%20Executives%20will%20provide%20monthly%20report%20and%20plans%20for%20the%20next%20month.%22%5D%2C%22title%22%3A%5Bnull%2C%22Monthly%20All%20Hands%22%5D%2C%22starts_at%22%3A%5Bnull%2C%222016-04-05T15%3A00%3A00.000Z%22%5D%2C%22ends_at%22%3A%5Bnull%2C%222016-04-05T15%3A50%3A00.000Z%22%5D%2C%22frequency%22%3A%5Bnull%2C%22once%22%5D%2C%22calendar_id%22%3A%5Bnull%2C111%5D%2C%22google_event_uniq_id%22%3A%5Bnull%2C%22c0ae5rlhlp8qr8t50msn44k5kg%40google.com%22%5D%2C%22created_at%22%3Anull%2C%22updated_at%22%3Anull%2C%22id%22%3Anull%7D?pnsdk=PubNub-Ruby/3.8.1&uuid=97d0854a-99ce-4f46-a9b7-9af0a2d4f5a8
D, [2016-06-09T19:34:24.807234 #13367] DEBUG -- Pubnub::Event: Event#handle
D, [2016-06-09T19:34:24.807381 #13367] DEBUG -- Pubnub::Event: Event#add_common_data_to_envelopes
D, [2016-06-09T19:34:24.807432 #13367] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Publish
D, [2016-06-09T19:34:24.811503 #13367] DEBUG -- Pubnub::Event: Event#handle
D, [2016-06-09T19:34:24.811592 #13367] DEBUG -- Pubnub::Event: Event#add_common_data_to_envelopes
D, [2016-06-09T19:34:24.811629 #13367] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Publish
D, [2016-06-09T19:34:25.898120 #13367] DEBUG -- Pubnub::Event: Event#handle
D, [2016-06-09T19:34:25.898268 #13367] DEBUG -- Pubnub::Event: Event#add_common_data_to_envelopes
D, [2016-06-09T19:34:25.898316 #13367] DEBUG -- Pubnub::Event: Firing callbacks for Pubnub::Publish
